question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,gemma:2b,hybrid,1.0,1.0,1.0,1,1.0,,5.2225,341,18,1,5,5,5,5,0.0,0.0,1.0,0,0,0,5,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.4191,372,7,1,5,5,5,5,0.0,0.0,0.6,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,gemma:2b,hybrid,1.0,1.0,1.0,1,0.8571,,2.9825,414,29,1,5,5,4,4,0.0,0.0,0.6,0,0,1,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G004_01,3,,Softphone vollstaendig beenden,gemma:2b,hybrid,0.6667,0.7654,1.0,1,0.6667,,2.7513,335,14,1,5,5,5,5,0.0,0.0,0.8,0,0,0,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G005_01,4,,Softphone Fusion Leiste Funktionen,gemma:2b,hybrid,1.0,0.9469,1.0,1,0.6667,,2.985,438,29,1,5,5,5,5,0.0,0.0,0.4,0,0,0,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,gemma:2b,hybrid,0.6667,0.7039,1.0,1,0.8571,,2.6726,374,7,0,5,5,5,5,0.0,0.0,0.8,0,0,0,5,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G007_01,6,,Softphone One Number Service konfigurieren,gemma:2b,hybrid,0.6,0.7227,1.0,1,0.4,,3.0301,429,28,1,5,5,5,5,0.0,0.0,0.0,0,0,0,4,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),gemma:2b,hybrid,0.0,0.0,0.0,7,0.4,,2.769,328,15,0,5,5,5,5,0.0,0.0,0.4,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,gemma:2b,hybrid,0.3333,0.4693,1.0,1,0.6667,,2.6167,394,9,0,5,5,5,5,0.0,0.0,0.4,0,0,0,2,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,A
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,gemma:2b,hybrid,0.6667,0.7039,1.0,1,0.4,,2.9528,394,37,1,5,5,5,5,0.0,0.0,0.6,0,0,0,3,sentence-transformers/all-MiniLM-L6-v2,default,320,50,0,app\chatbot\data\faiss_index\index,C
