question_id,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,error_bucket
G001,Softphone Kennwort aendern,llama3:8b,hybrid,0.0,0.0,0.0,,0.5714,,133.7571,394,38,1,20,5,20,5,0.973404,1.062279,0.263158,1,0,0,1,B
G002,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,148.6091,414,35,1,20,20,17,17,6.031266,5.676181,0.189474,1,0,0,2,B
G003,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,187.5712,412,28,0,20,1,20,1,0.528412,0.808671,0.315789,1,0,1,3,B
G004,Softphone vollstaendig beenden,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,183.6802,415,35,1,20,20,20,20,2.99414,2.369673,-0.357895,1,0,1,4,B
G005,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,181.3784,415,33,1,20,20,19,19,7.721554,6.371432,-0.263158,1,0,1,3,B
G006,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,175.8405,412,31,1,20,20,19,19,1.789205,1.397471,-0.378947,0,0,0,2,B
G007,Softphone One Number Service konfigurieren,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,173.7622,353,33,0,20,1,20,1,0.528412,0.808671,0.315789,1,0,1,3,B
G008,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,187.9746,409,29,1,20,20,20,20,1.14929,0.996244,-0.147368,1,0,0,2,B
G009,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,169.7677,379,32,1,20,20,19,19,1.158232,0.978375,-0.284211,0,0,1,3,B
G010,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,191.831,332,31,0,20,1,20,1,0.528412,0.808671,0.315789,0,0,1,4,B
G011,Softphone Konferenz planen,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,161.1586,330,29,0,20,1,20,1,0.528412,0.808671,0.315789,1,0,1,2,B
G012,HP Drucker Papierstau beheben,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,186.9392,400,30,1,20,14,20,14,1.29254,1.466756,0.284211,1,0,0,1,B
G013,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,212.6147,490,36,1,20,5,17,2,0.528412,0.783203,0.340426,1,1,0,1,B
G014,HP Drucker Patronen reinigen,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,150.3977,322,28,1,20,19,13,12,16.032304,12.645066,0.410526,0,0,0,2,B
G015,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,218.4871,551,29,0,20,17,12,9,1.202554,1.071227,0.042105,1,0,1,4,B
G016,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,228.9224,546,29,0,20,3,20,3,0.528412,0.765914,0.100529,1,0,1,2,B
G017,Raeume oder Ressourcen buchen,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,209.3921,381,34,1,20,16,14,10,0.689822,0.791734,0.368421,1,0,1,2,B
G018,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,162.655,347,31,1,20,1,20,1,0.528412,0.808671,0.315789,1,0,0,1,B
G019,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.0,,1927.6453,342,7,0,20,1,20,1,0.528412,0.808671,0.315789,0,0,0,0,B
G020,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,118.0889,342,33,0,20,1,20,1,0.528412,0.808671,0.315789,1,0,1,3,B
G021,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,140.6396,444,35,1,20,15,15,10,3.144326,3.043737,0.094737,1,0,1,2,B
G022,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,202.6243,560,33,0,20,7,17,4,1.068642,1.022941,0.178947,1,0,1,3,B
G023,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,1.0,,158.1787,343,33,0,20,1,20,1,0.528412,0.808671,0.315789,1,0,1,4,B
