question_id,model,retrieval_mode,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rank_first_rel,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,keyword_f1,factual_correct,error_bucket
G001,llama3:8b,hybrid,12,12,4,4,1.000000,0.267012,0.022230,0.090909,0.571400,1,C
G002,llama3:8b,hybrid,12,12,8,8,1.000000,0.274957,0.045128,0.545455,0.857100,1,C
G003,llama3:8b,hybrid,12,12,9,9,1.000000,0.204455,-0.001989,0.545455,0.000000,1,C
G004,llama3:8b,hybrid,12,12,8,8,1.000000,0.214675,-0.010988,0.606061,0.857100,1,C
G005,llama3:8b,hybrid,12,12,12,12,1.000000,0.182569,-0.062574,0.636364,1.000000,1,C
G006,llama3:8b,hybrid,12,12,12,12,1.000000,0.284691,0.013060,0.575758,0.857100,1,C
G007,llama3:8b,hybrid,12,12,6,6,1.000000,0.274548,0.014235,0.666667,1.000000,1,C
G008,llama3:8b,hybrid,12,12,4,4,1.000000,0.370121,0.000260,0.696970,0.000000,1,C
G009,llama3:8b,hybrid,12,12,9,9,1.000000,0.266676,0.050683,0.696970,0.000000,1,C
G010,llama3:8b,hybrid,12,12,11,11,1.000000,0.328789,-0.020585,0.424242,0.000000,1,C
G011,llama3:8b,hybrid,12,12,8,8,1.000000,0.312278,0.008736,0.515152,0.857100,1,C
G012,llama3:8b,hybrid,12,12,12,12,1.000000,0.285176,0.008174,0.606061,0.857100,1,C
G013,llama3:8b,hybrid,12,12,10,10,1.000000,0.295873,0.003334,0.393939,0.857100,0,A
G014,llama3:8b,hybrid,12,12,10,10,1.000000,0.334996,0.025269,0.848485,0.000000,1,OK
G015,llama3:8b,hybrid,12,12,4,4,1.000000,0.191830,-0.043199,0.575758,0.666700,1,C
G016,llama3:8b,hybrid,12,12,11,11,1.000000,0.177852,-0.036538,0.575758,0.857100,1,C
G017,llama3:8b,hybrid,12,12,12,12,2.000000,0.229436,0.047085,0.727273,0.857100,1,C
G018,llama3:8b,hybrid,12,12,10,10,1.000000,0.308178,0.026047,0.515152,0.666700,1,C
G019,llama3:8b,hybrid,12,12,12,12,3.000000,0.199721,0.171851,0.454545,0.400000,1,C
G020,llama3:8b,hybrid,12,12,2,2,2.000000,0.324694,0.023628,0.303030,1.000000,1,C
G021,llama3:8b,hybrid,12,12,6,6,47.000000,3.263266,3.199673,-0.272727,0.857100,0,A
G022,llama3:8b,hybrid,12,12,9,9,2.000000,0.278543,0.030383,0.272727,0.857100,1,C
G023,llama3:8b,hybrid,12,12,2,2,1.000000,0.219968,0.032374,0.333333,1.000000,1,C
G024,llama3:8b,hybrid,12,12,10,10,,0.270200,0.022517,0.181818,0.666700,1,B
G025,llama3:8b,hybrid,12,12,12,12,,0.287755,0.023980,0.272727,0.857100,1,B
G026,llama3:8b,hybrid,12,12,12,12,1.000000,0.367605,0.046797,0.696970,0.400000,1,C
G027,llama3:8b,hybrid,12,12,10,10,3.000000,0.284594,0.019965,0.757576,0.400000,0,A
G028,llama3:8b,hybrid,12,12,10,10,,0.205097,0.050243,0.636364,0.857100,1,B
G029,llama3:8b,hybrid,12,12,4,4,1.000000,0.264064,0.017418,0.242424,0.857100,1,C
G030,llama3:8b,hybrid,12,12,9,9,2.000000,0.330100,0.055064,0.272727,0.857100,1,C
G031,llama3:8b,hybrid,12,12,12,12,,0.420651,0.052302,0.393939,0.000000,1,B
G032,llama3:8b,hybrid,12,12,12,12,2.000000,0.310731,0.019442,0.515152,0.666700,1,C
G033,llama3:8b,hybrid,12,12,12,12,6.000000,0.287651,0.236488,0.303030,0.000000,1,C
G034,llama3:8b,hybrid,12,12,2,2,2.000000,0.349458,0.023036,0.090909,0.666700,1,C
G035,llama3:8b,hybrid,12,12,12,12,1.000000,0.263480,0.021957,0.333333,1.000000,1,C
G036,llama3:8b,hybrid,12,12,12,12,2.000000,0.304693,0.196865,0.484848,0.000000,1,C
G037,llama3:8b,hybrid,12,12,12,12,,0.410538,0.070443,0.454545,0.400000,1,B
G038,llama3:8b,hybrid,12,12,12,12,1.000000,0.246026,0.133448,0.484848,0.666700,1,C
G039,llama3:8b,hybrid,12,12,12,12,,0.310135,0.025845,0.333333,1.000000,1,B
G040,llama3:8b,hybrid,12,12,3,3,1.000000,0.236069,0.043363,0.363636,0.857100,1,C
G041,llama3:8b,hybrid,12,12,12,12,1.000000,0.396872,0.064568,0.090909,0.666700,1,OK
