question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,gpu_util_pct,gpu_mem_used_mb,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,,Softphone Kennwort aendern,llama3:8b,hybrid,1.0,1.0,1.0,1,0.75,,3.8005,409,35,1,20,20,18,18,0.0,0.0,0.505263,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G002_01,1,,Softphone Anmeldedaten speichern aktivieren,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,3.9825,427,30,1,20,20,20,20,0.0,0.0,0.578947,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G003_01,2,,Softphone Erstanmeldung mit DLS PIN,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,3.9831,409,38,1,20,20,19,19,0.0,0.0,0.452632,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G004_01,3,,Softphone vollstaendig beenden,llama3:8b,hybrid,1.0,0.8963,1.0,1,0.8571,,3.908,341,33,1,20,20,19,19,0.0,0.0,0.621053,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G005_01,4,,Softphone Fusion Leiste Funktionen,llama3:8b,hybrid,1.0,0.9469,1.0,1,0.6667,,3.9296,438,33,1,20,20,17,17,0.0,0.0,0.705263,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G006_01,5,,Softphone praefiertes Endgeraet wechseln,llama3:8b,hybrid,1.0,0.8307,1.0,1,0.8571,,4.0299,412,33,1,20,20,19,19,0.0,0.0,0.8,1,0,1,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G007_01,6,,Softphone One Number Service konfigurieren,llama3:8b,hybrid,1.0,0.9747,1.0,1,1.0,,4.0437,449,35,1,20,20,20,20,0.0,0.0,0.610526,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G008_01,7,,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,hybrid,0.5,0.2184,0.1667,6,0.8571,,3.9274,334,30,1,20,20,19,19,0.0,0.0,0.6,1,0,1,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G009_01,8,,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,hybrid,1.0,0.753,1.0,1,0.6667,,3.9993,417,33,1,20,20,19,19,0.0,0.0,0.589474,1,0,1,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G010_01,9,,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,hybrid,1.0,0.8855,1.0,1,0.6667,,3.9341,406,30,1,20,20,19,19,0.0,0.0,0.747368,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G011_01,10,,Softphone Konferenz planen,llama3:8b,hybrid,1.0,0.3869,0.2,5,0.8571,,3.9706,421,34,1,20,20,18,18,0.0,0.0,0.684211,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G012_01,11,,HP Drucker Papierstau beheben,llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.0121,415,30,1,20,20,20,20,0.0,0.0,0.789474,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G013_01,12,,HP Drucker Duplexmodul verwenden,llama3:8b,hybrid,0.6667,0.5307,0.5,2,0.6667,,3.9518,382,35,1,20,20,14,14,0.0,0.0,0.715789,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G014_01,13,,HP Drucker Patronen reinigen,llama3:8b,hybrid,1.0,0.8855,1.0,1,0.6667,,4.0046,418,30,1,20,20,17,17,0.0,0.0,0.778947,0,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G015_01,14,,Abwesenheitsagent in Clerk anlegen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.4189,983,32,1,20,19,9,8,0.0,0.0,0.852632,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G016_01,15,,Outlook Ordner fuer Stellvertreter freigeben,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.3921,820,36,1,20,20,14,14,0.0,0.0,0.757895,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G017_01,16,,Raeume oder Ressourcen buchen,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.0691,475,37,1,20,20,19,19,0.0,0.0,0.852632,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G018_01,17,,Wie konfiguriere ich die Proxy-Einstellungen fuer agree21Internet manuell?,llama3:8b,hybrid,1.0,0.6309,0.5,2,0.6667,,4.0601,489,33,1,20,20,19,19,0.0,0.0,0.768421,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G019_01,18,,Welche Aufgaben uebernimmt das Atruvia Secure Webgateway laut Funktionsbeschreibung?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.4,,4.0977,436,34,1,20,20,20,20,0.0,0.0,0.852632,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G020_01,19,,Welche Ports empfiehlt die LDAP-Anleitung fuer StartTLS und LDAPS?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.0023,536,32,1,20,20,6,6,0.0,0.0,0.305263,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G021_01,20,,Welche Forms-Regeln gelten laut Spielregeln M365?,llama3:8b,hybrid,1.0,0.5,0.3333,3,0.8571,,3.8431,311,27,1,20,20,18,18,0.0,0.0,0.778947,1,0,1,3,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G022_01,21,,Wie legt man Postfachregeln laut Anleitung in Outlook Online an?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.8571,,4.275,766,33,1,20,20,12,12,0.0,0.0,0.778947,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G023_01,22,,Wie aktiviert man Senden-von in Outlook laut Anleitung?,llama3:8b,hybrid,1.0,1.0,1.0,1,0.6667,,4.343,771,38,1,20,20,7,7,0.0,0.0,0.6,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G024_01,23,,Wie erteilt man Outlook-Zugriff fuer Stellvertreter laut Guidance?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.3391,769,29,1,20,20,13,13,0.0,0.0,0.810526,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G025_01,24,,Wie erstellt man Screenshots mit Greenshot laut Anleitung?,llama3:8b,hybrid,0.0,0.0,0.0,,0.6667,,4.386,742,33,1,20,20,14,14,0.0,0.0,0.4,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G026_01,25,,Welche Abwesenheitsarten mussen Mitarbeitende im Clerk-Abwesenheitsagenten eintragen und welche Schritte sind fur die Anlage einer periodischen Serie inklusive Namen und Zeitraum notwendig?,llama3:8b,hybrid,0.5,0.3869,0.5,2,0.4,,4.4304,826,28,1,20,20,13,13,0.0,0.0,0.631579,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G027_01,26,,Wie werden im Clerk-Abwesenheitsagenten halbtagige Abwesenheiten konfiguriert und welche Optionen sollten bei einer wochentlich wiederkehrenden Teilzeitabwesenheit gesetzt werden?,llama3:8b,hybrid,0.5,0.3869,0.5,2,0.6667,,4.6565,990,30,1,20,20,17,17,0.0,0.0,0.684211,1,0,0,2,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G028_01,27,,"Welche Einstellungen sind in Outlook erforderlich, damit sowohl neue als auch bereits bestehende Ordner automatisch fur Stellvertreter freigegeben sind?",llama3:8b,hybrid,0.0,0.0,0.0,,0.8571,,4.4811,849,28,1,20,20,15,15,0.0,0.0,0.821053,1,0,0,1,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,B
G029_01,28,,"Welche Schritte sind laut PDF-Crypt-Anleitung erforderlich, um Kundenpassworter einzusehen und anschliessend ein neues Passwort zu vergeben?",llama3:8b,hybrid,1.0,1.0,1.0,1,1.0,,4.0324,471,34,1,20,20,3,3,0.0,0.0,0.726316,1,0,1,4,,,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,0,app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
